Country_Region,Growth_vs_2019_Percent,Market_Status,Category
Turkey,23.1,High Growth,Europe
Italy,17.0,High Growth,Europe
Spain,13.0,High Growth,Europe
Albania,47.5,Exceptional Growth,Europe
Moldova,46.0,Exceptional Growth,Europe
Uzbekistan,36.6,Exceptional Growth,Europe
Bosnia & Herzegovina,33.8,Exceptional Growth,Europe
Georgia,23.9,Exceptional Growth,Europe
Germany,-16.0,Lagging,Europe
France,-3.0,Lagging,Europe
United Kingdom,-0.1,At Parity,Europe
Middle East,5.0,High Growth,Middle East
Africa (Capacity),8.6,High Growth,Africa
Small Airports (<1M pax),-34.5,Crisis,Europe
European Average,1.8,Recovered,Europe
